id,timestamp,name,gesture,palmPX,palmPY,palmPZ,f0PosX,f0PosY,f0PosZ,f1PosX,f1PosY,f1PosZ,f2PosX,f2PosY,f2PosZ,f3PosX,f3PosY,f3PosZ,f4PosX,f4PosY,f4PosZ,Df0palm,Df1palm,Df2palm,Df3palm,Df4palm,Df0f1,Df0f2,Df0f3,Df0f4,Df1f0,Df1f2,Df1f3,Df1f4,Df2f0,Df2f1,Df2f3,Df2f4,Df3f0,Df3f1,Df3f2,Df3f4,Df4f0,Df4f1,Df4f2,Df4f3,handDirX,handDirY,handDirZ,f0DirX,f0DirY,f0DirZ,f1DirX,f1DirY,f1DirZ,f2DirX,f2DirY,f2DirZ,f3DirX,f3DirY,f3DirZ,f4DirX,f4DirY,f4DirZ,f0Ext,f1Ext,f2Ext,f3Ext,f4Ext,Confidence
1,1449083333367,Andressa,Open,39.20181,228.355,48.92193,-13.13967,232.8231,34.45961,14.19602,242.2558,-26.80456,32.06471,235.4668,-34.56187,61.28444,227.0613,-25.66501,83.95929,217.3336,-2.388656,54.4869385288486,80.9509129327767,84.0898407169792,77.7982040625795,68.974552315281,67.7471265099502,82.5502206289642,95.850406498562,105.004913232469,67.7471265099502,20.6294308577771,49.4924938599544,78.0012206864573,82.5502206289642,20.6294308577771,31.6802451777361,63.6947539764028,95.850406498562,49.4924938599544,31.6802451777361,33.9201833502906,105.004913232469,78.0012206864573,63.6947539764028,33.9201833502906,0.04271077,0.08119975,-0.9957762,-0.4241608,0.05892057,-0.903662,-0.1396707,0.02704289,-0.9898258,-0.1266382,-0.010424127,-0.9918894,0.07707149,-0.02840613,-0.9966178,0.3143176,-0.02291858,-0.9490391,1.0,1.0,1.0,1.0,1.0,1.0
2,1449083338767,Andressa,0,55.89594,263.7327,62.43038,15.34635,262.8237,47.34899,11.48583,272.9512,13.11991,13.16383,258.6732,10.52171,38.49738,240.3426,1.808151,50.88177,236.5196,14.76463,43.2737345377986,67.0017755798525,67.4274603418061,67.2716020422434,55.1208240832511,35.9072578260167,37.1269969938755,55.8207314568624,54.9275162661909,35.9072578260167,14.6096344718304,43.8378155479012,53.6904677332685,37.1269969938755,14.6096344718304,32.4716636691242,43.9552549589744,55.8207314568624,43.8378155479012,32.4716636691242,18.3476545708023,54.9275162661909,53.6904677332685,43.9552549589744,18.3476545708023,0.01763606,0.1201213,-0.9925725,-0.391641,-0.1013969,-0.9145021,-0.8839823,-0.4641962,-0.05488634,-0.9445979,-0.3265432,0.03193712,-0.8843558,-0.2914983,-0.3643022,-0.8956603,-0.07928223,-0.4374743,0.0,0.0,0.0,0.0,0.0,0.6383773
3,1449083353251,Andressa,1,13.17127,187.9396,64.42599,16.36388,239.3926,29.42399,-9.742617,223.496,88.32541,-8.833846,218.557,96.55467,-6.694903,205.4141,101.0896,-4.897186,189.9582,99.4433,62.3132572676736,48.5921692681174,49.5555772680573,45.2137573340836,39.4559956032536,66.3622659542851,74.6771352488305,82.5974940909094,88.3103847024584,66.3622659542851,9.66434547001641,22.355562725389,35.6748581090022,74.6771352488305,9.66434547001641,14.129387143539,29.049150392761,82.5974940909094,22.355562725389,14.129387143539,15.6479982350041,88.3103847024584,35.6748581090022,29.049150392761,15.6479982350041,-0.8992469,-0.1354634,-0.4157923,-0.5207195,0.4130247,-0.7471501,0.4996232,0.2389274,0.832497,0.5346151,0.4202178,0.7326978,0.5119964,0.5585617,0.6525406,0.4784772,0.6981507,0.5325734,1.0,0.0,0.0,0.0,0.0,0.418309
4,1449083356034,Andressa,2,21.55323,187.113,62.61957,29.30725,232.4855,15.39156,-48.34567,216.1715,49.62909,8.40028,221.5497,89.46627,12.89723,209.2798,95.89754,12.7377,195.0164,96.50809,65.9519780803351,76.8100072462297,45.6094945406013,40.9150780370768,35.9005679420517,86.4259228795484,77.7438922222837,85.37741585446,90.8775862262029,86.4259228795484,69.5472112846874,77.0690857359778,79.8557555977282,77.7438922222837,69.5472112846874,14.5666987435074,27.7948622463455,85.37741585446,77.0690857359778,14.5666987435074,14.2788784431756,90.8775862262029,79.8557555977282,27.7948622463455,14.2788784431756,-0.9476638,-0.1342348,-0.2894186,-0.4452344,0.3497585,-0.8241605,-0.910008,0.3544837,0.2147584,0.7688843,0.3867197,0.5089052,0.7795331,0.4887775,0.3914033,0.7492288,0.6316565,0.1982481,1.0,1.0,0.0,0.0,0.0,0.4371583
5,1449083359485,Andressa,3,34.82018,189.5112,61.58695,29.61336,226.6427,52.56964,7.231729,232.2118,7.284264,-4.872762,233.6013,9.437728,-17.67043,222.027,23.46817,5.939754,227.6487,66.93286,38.5740916587018,74.3895276759081,78.9891097942585,72.566469207681,48.1542192551119,50.8260570478024,55.6615019911275,55.714043679705,27.7351693561526,50.8260570478024,12.3829086195043,31.4009919001107,59.8513602743711,55.6615019911275,12.3829086195043,22.2410318859262,58.812377458498,55.714043679705,31.4009919001107,22.2410318859262,49.786231108202,27.7351693561526,59.8513602743711,58.812377458498,49.786231108202,-0.6564537,0.09269578,-0.7485168,-0.7951711,0.4935013,-0.3518871,-0.5184994,0.7403218,-0.42781,-0.4264433,0.7373845,-0.5237605,-0.5030866,0.6292841,-0.5922769,0.422308,0.9042013,0.05414282,0.0,1.0,1.0,1.0,0.0,0.8502834
6,1449083362418,Andressa,4,43.14161,195.6173,55.89578,40.91733,235.283,41.34244,13.59486,234.1643,-4.01794,2.3805228,229.544,-5.473819,-9.430355,219.1975,12.22025,-16.96359,201.8155,38.87693,42.3287229301587,77.1289950260405,81.1496471257354,72.3013820763584,62.777007035508,52.9683430112462,60.9399874001043,60.3502917754174,66.9163825949245,52.9683430112462,12.3203627335112,31.9057640151722,61.8140163730185,60.9399874001043,12.3203627335112,23.7739070861306,55.8418454710427,60.3502917754174,31.9057640151722,23.7739070861306,32.7074401801599,66.9163825949245,61.8140163730185,55.8418454710427,32.7074401801599,-0.6501792,0.053568843,-0.7572287,-0.7525981,0.4573314,-0.4727236,-0.5617366,0.6388589,-0.5255677,-0.4579012,0.5965541,-0.6580103,-0.5210775,0.5292306,-0.6695939,-0.6784327,0.3358635,-0.6531962,0.0,1.0,1.0,1.0,1.0,0.9654247
7,1449083368901,Andressa,5,54.06313,229.9106,64.13667,8.630096,245.9044,70.23513,25.99932,270.4087,19.59002,19.72949,258.2779,11.94118,11.19983,231.0839,56.0357,18.25281,217.9552,50.03649,48.5567686482324,66.4445609550085,68.6295632316022,43.646815463056,40.3089171339211,58.8981223642502,60.6307966697006,20.7024413075466,35.81162928928,58.8981223642502,15.6570506943841,55.6345327169524,61.153981424629,60.6307966697006,15.6570506943841,52.5102949725081,55.4979807826142,20.7024413075466,55.6345327169524,52.5102949725081,16.0673549803878,35.81162928928,61.153981424629,55.4979807826142,16.0673549803878,-0.1149105,0.4027747,-0.9078187,-0.7114244,0.0046497138,-0.7025297,-0.994427,0.07331739,-0.07222298,-0.9781655,0.194182,0.07099517,-0.399127,-0.10780727,0.9103311,-0.4429487,0.015214663,0.8962428,0.0,0.0,0.0,0.0,0.0,0.5986879
8,1449083371868,Andressa,6,56.88409,249.8903,65.94586,10.6275,265.0204,49.09228,21.00788,272.2077,41.2101,20.55786,261.0579,38.25883,26.83516,246.584,32.94394,37.37226,233.907,33.59741,51.5055486132848,49.4441957614676,47.6670291759522,44.8445990061047,41.108742012618,15.4977220904307,17.06716487323,29.5822213251912,43.9740948843313,15.4977220904307,11.6236809963187,27.9125650526988,42.5898192455473,17.06716487323,11.6236809963187,17.5942008863313,32.7732560363178,29.5822213251912,27.9125650526988,17.5942008863313,16.500069993884,43.9740948843313,42.5898192455473,32.7732560363178,16.500069993884,0.2746854,0.4199342,-0.8647427,-0.3421646,0.2993211,-0.8906809,-0.6867918,-0.4879791,0.5026115,-0.6951111,-0.3595003,0.5950565,-0.8166973,-0.2065548,0.5367958,-0.8486552,-0.07014532,0.522097,0.0,0.0,0.0,0.0,0.0,0.5890961
9,1449083389918,Andressa,7,67.06202,231.8628,42.76409,25.75565,267.3101,49.41941,6.37395,248.6419,25.94931,29.25729,231.6276,54.13875,35.42738,219.0097,54.36688,41.02017,208.1595,47.08771,54.8480243644979,65.1756215549417,39.4803279474774,36.0641515890493,35.478699908633,35.7241524640609,36.1776671075064,49.5173456052778,61.142279758303,35.7241524640609,40.1012000945632,50.3011464378008,57.3286280811853,36.1776671075064,40.1012000945632,14.0478860168964,27.1821608773281,49.5173456052778,50.3011464378008,14.0478860168964,14.21292932955,61.142279758303,57.3286280811853,27.1821608773281,14.21292932955,-0.1883257,0.1703293,-0.9671254,-0.6761625,0.08834905,-0.7313057,-0.9837377,-0.1640108,0.07280614,0.08536755,-0.1897819,0.9780273,0.06284294,-0.04833341,0.9967588,-0.05758293,0.06105631,0.99635,0.0,0.0,0.0,0.0,0.0,0.3222211
10,1449083395168,Andressa,8,51.97988,264.7933,54.51021,25.50295,238.8982,23.28091,31.21557,235.9371,31.00193,40.66199,231.295,31.44198,53.40627,232.3724,31.47194,64.16485,241.0675,32.0174,48.4592408979859,42.629532066673,42.2292299435728,39.8105454578829,34.9059022112957,10.1392707042732,18.8467312619252,29.8366181138423,39.7045213617601,10.1392707042732,10.5369560866908,22.5059137176755,33.3734037774675,18.8467312619252,10.5369560866908,12.8299452551557,25.4716553332937,29.8366181138423,22.5059137176755,12.8299452551557,13.8594270629392,39.7045213617601,33.3734037774675,25.4716553332937,13.8594270629392,-0.1675186,0.6800514,-0.7135565,0.017102364,0.12690829,-0.9904802,0.2736976,-0.8264618,0.4916969,0.1310117,-0.8260118,0.5478916,-0.05260275,-0.8568795,0.51233,-0.3537693,-0.7717149,0.5267764,0.0,0.0,0.0,0.0,0.0,0.3888631
